,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,AptaMat,Probability
236,.......((.(((......))).)).(.....).....(....)...(((....)))...................,10,-4.812,16,0,0.000309
237,.......((.(((......))).)).....((((...(((.......(((....)))(.......)..))))))).,16,-4.81,2,0,0.000308
238,.......((.(((......))).))....((.......)).......(((....))).....(.........)...,11,-4.81,16,0,0.000308
239,.......((.(((......))).)).....((((...(((.......((......))...........))))))).,14,-4.808,2,0,0.000307
240,.......((.(((......))).)).....(((..((.((......))..))..)))...................,12,-4.806,25,0,0.000306
241,.......((.(((......))).)).....(((....(((....(..(((....))).).........))).))).,15,-4.806,4,0,0.000306
242,.......((.(((......))).))...(((.......)))......(((....)))........(........).,12,-4.804,18,0,0.000305
243,...........((((....)))).......(((.(((.((......))..))).)))...................,12,-4.797,40,0,0.000301
244,.......((.(((......))).))......((.((....)).))..(((....)))..........((...))..,14,-4.793,21,0,0.000299
245,..........(((......)))...............(((.......(((....)))...........))).....,9,-4.793,12,0,0.000299
246,.......((.(((......))).))(.((((.......))))..)..(((....)))...................,13,-4.792,21,0,0.000299
247,...(((.((..((((....))))..))...))).....(....)...(((....)))...................,13,-4.792,33,0,0.000298
248,...........((((....))))..(.((((.......))))..)..(((....)))...................,12,-4.791,34,0,0.000298
249,.......((.(((......))).))............(.....)...(((....)))...................,9,-4.788,15,0,0.000297
250,.......((.(((......))).)).............((......))............................,7,-4.787,21,0,0.000296
251,.......((.(((......))).)).....((((.(.......(((((((....)))........))))).)))).,17,-4.785,14,0,0.000295
252,.......((.(((......))).)).((...)).....(....)...(((....)))...................,11,-4.785,17,0,0.000295
253,.......((.(((......))).))...(((.......)))....(((.((.................)).)))..,13,-4.778,26,0,0.000292
254,.......((.(((......))).))..((((.......))))....((.((.................)).))...,13,-4.778,27,0,0.000292
255,.......((.(((......))).))......................(((....)))..........(.....)..,9,-4.771,15,0,0.000288
256,.......((.(((......))).))..((((.......)))).....(((....)))....(((.......)).).,15,-4.77,22,0,0.000288
257,.......((.(((......))).))..(((.........))).....(((....))).....(.(...).).....,13,-4.764,21,0,0.000285
258,...........((((....)))).......((((.............(((....)))..............)))).,11,-4.759,19,0,0.000282
259,.......((.(((......))).))............(((....(..(((....)))..)........))).....,12,-4.758,10,0,0.000282
260,.......((.(((......))).))..((((.......)))).(((((((....)))........))))(....).,17,-4.757,26,0,0.000282
261,.......((.(((......))).)).....(((....(((......((((....)))..)........))).))).,15,-4.756,4,0,0.000281
262,.......((.(((......))).))....((.......)).......(((....))).....(((...)..))...,13,-4.752,18,0,0.000279
263,..(.....).(((......)))........((((...(((.......(((....)))...........))))))).,14,-4.749,5,0,0.000278
264,.....................(((....))).......(....)...(((....)))...................,7,-4.743,28,0,0.000275
265,...........((((....)))).....(((.......)))......(((....)))...................,10,-4.743,30,0,0.000275
266,..(.((....(((......)))..)).)..((((...(((.......(((....)))...........))))))).,16,-4.741,9,0,0.000274
267,.......((.(((......))).)).......(......)...(((((((....)))........)))).......,13,-4.739,21,0,0.000273
268,.......((.(((......))).)).....(((....(((........((....))............))).))).,13,-4.738,4,0,0.000273
269,...........(.(((....))).).....((((...(((.......(((....)))...........))))))).,14,-4.735,14,0,0.000271
270,.......((.(((......))).))............((....(((((((....)))........)))))).....,14,-4.733,17,0,0.000270
271,.......((.(((......))).)).............(....)...(((....)))..........((...))..,11,-4.73,16,0,0.000269
272,.......((.(((......))).)).....(((....(((......((((....)))....)......))).))).,15,-4.728,4,0,0.000268
273,.......((.(((......))).)).....((((...(((.(.((..(((....)))....))...).))))))).,18,-4.726,6,0,0.000267
